dist,K_avg,FMI_avg,FMI_std
50,1.0,0.6093726052780343,0.012877773099303647
55,1.0333333333333334,0.5996575751326453,0.010534080026807714
60,1.1,0.6140460662461215,0.06675037933393743
65,1.2666666666666666,0.6345989830169938,0.09011674651227214
70,1.8,0.7294004606865886,0.0866021210050905
75,1.7666666666666666,0.71820902883228,0.08506529256033263
80,1.9,0.7271232429129711,0.06677929272011196
85,2.033333333333333,0.7360805724641829,0.05071187430394686
90,2.0,0.734117837768558,0.03780048674478681
95,2.1,0.7182517903259353,0.04748099177985601
100,1.9333333333333333,0.7186725551449155,0.056798511603781465
105,1.9,0.7153280973305794,0.05631145408222303
