x,y,labels_1,graphic_labels
2355.7658310921593,2817.269046110121,1,5.0
2336.721125080549,2832.271872470639,1,5.0
2336.089275118861,2822.8380510614347,1,5.0
2345.292740123641,2822.3120004637713,1,5.0
2348.5621222447353,2830.214194448469,1,5.0
2341.4187862624563,2801.4268403251176,1,5.0
2353.5042333669944,2817.7208423172356,1,5.0
2348.115634177936,2820.0109777981233,1,5.0
2360.336445923529,2809.6294965265106,1,5.0
2350.135537448028,2846.564672489211,1,5.0
2358.5310436637483,2813.8225102788233,1,5.0
2364.7452694876074,2821.164077026886,1,5.0
2347.611515192305,2838.4836947001445,1,5.0
2356.6157382986976,2818.691242976125,1,5.0
2336.025725626689,2810.568456319623,1,5.0
2353.4568341620393,2821.171854860347,1,5.0
2374.952815288646,2830.7977030758343,1,5.0
2334.828296858701,2825.25655760834,1,5.0
2378.3831768700616,2804.461661972521,1,5.0
2354.992963449949,2817.2340823422905,1,5.0
2348.296890975956,2795.780509078139,1,5.0
2369.475749590181,2820.3022202472016,1,5.0
2352.0172458024426,2825.5932559549547,1,5.0
2368.245635053652,2815.2942824670977,1,5.0
2365.764425788249,2834.9316429092364,1,5.0
2356.00243877907,2808.0646044239124,1,5.0
2345.967051900543,2811.759457009224,1,5.0
2346.556871763405,2817.067033748825,1,5.0
2355.116534954489,2795.055065894064,1,5.0
2353.136018551755,2801.994692480208,1,5.0
2348.2182326843745,2810.7997199326232,1,5.0
2368.5321057020474,2829.5075352597673,1,5.0
2363.954531775673,2807.9873808212187,1,5.0
2378.136894919797,2825.317546389137,1,5.0
2361.170071628821,2822.850532595093,1,5.0
2343.915203929083,2833.0392370648897,1,5.0
2334.4697054561875,2810.5299193156447,1,5.0
2352.2766567225804,2817.4811421875706,1,5.0
3628.3639413626693,3542.0468983074684,2,6.0
3652.644721034751,3560.135477659927,2,6.0
3647.3841744278193,3538.585329251656,2,6.0
3644.601300454468,3565.024104820549,2,6.0
3629.737786516399,3557.2224033635302,2,6.0
3634.1818846446613,3575.779962791635,2,6.0
3657.1171705020392,3587.196483971744,2,6.0
3643.276526810193,3570.4575584615764,2,6.0
3656.74243196186,3556.7414365546483,2,6.0
3672.909819912181,3559.6090760227576,2,6.0
3632.324427623701,3569.1930367826585,2,6.0
3637.659600341712,3548.855918708009,2,6.0
3625.11689564248,3555.610549599096,2,6.0
3655.1092115982105,3580.972799868707,2,6.0
3657.41687839492,3542.184773293297,2,6.0
3646.0476377069936,3558.0677570955445,2,6.0
3636.9293609604274,3559.791737643566,2,6.0
3664.1834478047863,3549.2322889332213,2,6.0
3650.063390898824,3549.2193869252424,2,6.0
3649.2191560952992,3554.730572946732,2,6.0
3653.0630211810535,3583.2574947977546,2,6.0
3641.88696424528,3569.30698746776,2,6.0
3646.5257110974626,3559.806399306711,2,6.0
3641.3751492360493,3571.711465872341,2,6.0
3673.329690431259,3560.706403621314,2,6.0
3633.8625260408107,3536.097621350553,2,6.0
3650.5759475784093,3530.535258693209,2,6.0
3648.720671208604,3561.6104312727794,2,6.0
3637.801687247397,3554.188028538392,2,6.0
3672.150384526034,3570.1883030658296,2,6.0
3622.513215723853,3574.516948066627,2,6.0
2221.7127030493534,3506.875946495142,3,19.0
2232.3150342332656,3516.1121975856145,3,19.0
2228.263701377029,3502.006686014531,3,19.0
2207.458807298773,3494.8515448579924,3,19.0
2221.132903529307,3502.251652446066,3,19.0
2212.867317031627,3500.1870900300128,3,19.0
2202.7847897848237,3510.2842311148474,3,19.0
2206.2350030190064,3491.0719018835966,3,19.0
2212.6595094864333,3478.7111231222675,3,19.0
2216.0471968036845,3508.3941229541633,3,19.0
2205.876692470635,3504.151182501193,3,19.0
2226.193033088477,3494.911553036484,3,19.0
2214.044386442737,3500.906748698601,3,19.0
2212.978305543269,3503.165508363973,3,19.0
2193.1469224803227,3517.195125506676,3,0.0
2199.8127922576505,3494.050377672662,3,19.0
2217.5124581046607,3507.7013113991197,3,19.0
2189.6249626049807,3488.60091116453,3,19.0
2216.27294636334,3495.201579961719,3,19.0
2230.9879814647666,3478.453297812627,3,0.0
2194.3198613429136,3493.2890454254384,3,19.0
3729.742539467965,3473.225974688501,4,6.0
3760.889280836619,3503.5316513710663,4,6.0
3739.8691884162404,3494.6882327823696,4,6.0
3742.6707093065493,3492.484954596702,4,6.0
3760.54230759126,3484.8137715317102,4,6.0
3737.407793223137,3476.88040294512,4,6.0
3739.9821142691303,3516.6895697138953,4,6.0
3743.685062238081,3496.7678174660027,4,6.0
3731.138108978996,3517.845869063273,4,6.0
3728.641395388772,3489.116890858297,4,6.0
3734.7637095739005,3494.7204468447962,4,6.0
3726.630615705396,3493.5494818777925,4,6.0
3721.9999222121305,3486.1463234763237,4,6.0
3717.671773503665,3485.493780951636,4,6.0
3734.5831811276703,3496.326827790414,4,6.0
3731.2964526421993,3481.1385690114553,4,6.0
3728.7138449320532,3489.610825043601,4,6.0
3734.019910281422,3510.5036505778944,4,6.0
3727.1176176050362,3488.1038294967248,4,6.0
3752.3133158084806,3491.950086168396,4,6.0
3723.364909059353,3517.5601427446704,4,6.0
3711.138283527151,3507.858256315433,4,6.0
3716.2551934111266,3484.2471224579444,4,6.0
3725.7990055682935,3486.520674381283,4,6.0
3714.0439134893695,3481.603105608581,4,6.0
3720.649631496779,3492.5042236284303,4,6.0
3750.0246738857372,3481.1643719844105,4,6.0
3734.6107928764836,3491.619685955259,4,6.0
3755.306589800473,3511.0107527861715,4,6.0
3747.578155039166,3497.349783809975,4,6.0
3735.3370838010774,3486.305861168984,4,6.0
3714.5156509914677,3506.004808664389,4,6.0
3733.4401992825283,3508.76083000287,4,6.0
3747.19481077284,3484.3500466011164,4,6.0
3734.4443761568878,3490.731754870927,4,6.0
3734.644351878076,3470.9280622245815,4,6.0
316.07495825642064,3193.1703790098027,5,7.0
271.6110655972537,3194.691787319923,5,7.0
301.324356956876,3203.5392344988145,5,7.0
306.5881115435027,3212.869565329257,5,7.0
295.1044801902981,3207.5842197942516,5,7.0
304.35822348211286,3221.849647662059,5,7.0
272.2275940449344,3188.648547569813,5,7.0
288.70937120562934,3224.718508532277,5,7.0
300.06825118310405,3192.704511726336,5,7.0
308.3573715287667,3199.0178158455187,5,7.0
285.64825226490143,3196.5881064486625,5,7.0
290.13835456111525,3199.470198783148,5,7.0
309.6615194586192,3219.190398645771,5,7.0
277.24298117369966,3204.178803969616,5,7.0
282.05250326744107,3182.8527065911985,5,7.0
291.7464159349033,3191.4551250847303,5,7.0
303.3810690477005,3209.317629612958,5,7.0
299.3128072398441,3201.819049999918,5,7.0
299.3677128575688,3203.595360432676,5,7.0
297.79138898819883,3202.2542327774786,5,7.0
310.1244503818036,3201.3897893527587,5,7.0
276.7463126193592,3200.7303140985478,5,7.0
297.3485169965166,3183.1222886248515,5,7.0
305.31917099965267,3196.792256546248,5,7.0
293.00142349049906,3213.9272000828496,5,7.0
291.9319767128254,3211.066094116411,5,7.0
283.30914893758154,3192.071196057355,5,7.0
290.0093941899853,3201.835143317488,5,7.0
297.17341593235636,3197.973088649085,5,7.0
275.2696386151184,3184.8526964486755,5,7.0
302.8813328414134,3194.53357809409,5,7.0
289.3789500243281,3211.0366557130187,5,7.0
2016.095087522288,3010.8921214748852,6,14.0
2027.4973878339663,3006.879643013772,6,14.0
2015.0146257430827,3021.8001108372914,6,14.0
2008.9754893357315,3022.6741875472053,6,14.0
2014.7027450441958,3008.4841299828227,6,14.0
2009.3078709176727,2991.9290789738743,6,14.0
2012.380386254081,3016.742685644784,6,14.0
2014.3350189947346,3011.4584929266107,6,14.0
2037.422186401751,3028.426632800133,6,0.0
2030.6778345627652,2984.379950084931,6,14.0
2025.703485510456,3023.9956880096975,6,14.0
2005.7492253819207,3015.03700203698,6,14.0
1998.8761325835003,3012.325519823341,6,14.0
2010.2667402821407,3006.85918713282,6,14.0
2010.062245037512,3024.4937740531354,6,14.0
2008.0753954429392,2984.3299930274193,6,14.0
1993.6374335163275,3010.493236822673,6,0.0
2017.7422416907816,3004.1061521074025,6,14.0
2015.9354177024566,2998.5000991334728,6,14.0
2021.1798873370221,3002.534544831512,6,14.0
2033.2371390054755,3019.0303552221367,6,14.0
2013.982891074736,3038.2845477633086,6,0.0
2029.3003748213941,3010.177192503827,6,14.0
2009.7853669176488,3029.16144115247,6,14.0
2016.3041902066016,3013.309020708569,6,14.0
2016.2614871791682,3009.502805998822,6,14.0
2018.1882558119016,3024.484706516763,6,14.0
2018.325303499019,2987.84761951334,6,14.0
2009.5318596916293,3019.438143010389,6,14.0
2026.4679006873826,3007.72073369805,6,14.0
2032.9032043454608,2995.5375923240867,6,14.0
2015.917475115598,3032.105409712736,6,14.0
1642.5437488022233,1571.3734606872595,7,0.0
1636.0227233717728,1615.8722254968748,7,25.0
1636.6755801313157,1582.9548426239057,7,25.0
1665.9668397258158,1587.6878506515848,7,25.0
1658.5980984978169,1604.3276603297445,7,25.0
1641.6153250242933,1592.633604069616,7,25.0
1636.3311346118921,1613.4689498764635,7,25.0
1651.521991843417,1599.391078767182,7,25.0
1683.3039435313046,1584.9649756222898,7,25.0
1657.2112509476,1588.7157964685898,7,25.0
1656.7701679370225,1588.2097773836176,7,25.0
1664.61318072916,1579.2256932880787,7,25.0
1662.737278300739,1584.9018188493878,7,25.0
1644.284834876631,1597.7129648273676,7,25.0
1654.2510450212646,1616.7705071533755,7,25.0
1655.1108458076142,1593.546584458822,7,25.0
1664.133793827262,1576.0497733672912,7,25.0
711.0354350346161,2382.2571504557222,8,12.0
711.145993700833,2373.637333724918,8,12.0
725.0015696839625,2368.792138940208,8,12.0
712.621480664527,2390.555170990346,8,12.0
695.9982410445151,2382.332935272741,8,12.0
714.7001711344566,2363.1348953207307,8,12.0
746.6782327123343,2351.8508382600994,8,0.0
728.6267707060692,2361.886250222052,8,12.0
723.0922623540853,2366.2451902933553,8,12.0
731.7369224602197,2368.7447222776927,8,12.0
718.6504278231819,2358.839093028032,8,12.0
729.7303888088942,2357.210612977166,8,12.0
745.3094504635973,2359.590360896191,8,12.0
716.8108805629221,2380.223324250019,8,12.0
720.9171035488043,2347.9899033282722,8,12.0
717.3939764077501,2364.3501982947764,8,12.0
713.7602040620504,2361.8357022711075,8,12.0
713.5323192926406,2367.170444548173,8,12.0
735.3236779905533,2376.257286687525,8,12.0
712.0964514726843,2346.874886178481,8,12.0
720.0262308147418,2367.4748022644194,8,12.0
721.721916795542,2361.598586141185,8,12.0
718.4836716013104,2369.3935342007426,8,12.0
719.1413453247764,2360.980109549235,8,12.0
692.6083236009247,2368.608506776768,8,12.0
722.3839596285733,2358.047479672404,8,12.0
736.5414713346972,2371.827627252485,8,12.0
729.5163632658403,2375.702451549531,8,12.0
717.0041229788434,2366.936581696893,8,12.0
735.9451962000174,2366.2015471613167,8,12.0
745.8870488463907,2376.7118273695155,8,12.0
2561.2238346677696,1655.0155232616974,9,15.0
2567.90018884275,1640.8000139697854,9,15.0
2585.0678047652773,1671.0866888677576,9,15.0
2587.8115339203987,1654.003013486242,9,15.0
2572.534171964579,1652.0780255106222,9,15.0
2586.3834181291904,1651.2707155420087,9,15.0
2574.0292456291368,1650.413817475844,9,15.0
2571.1534950371515,1657.35843187431,9,15.0
2569.7257770738142,1646.4086819624195,9,15.0
2582.108351669914,1651.9271115927856,9,15.0
2585.79707393517,1649.7146173511585,9,15.0
2558.3439754378805,1645.0033788868298,9,15.0
2566.8224619787466,1638.360405211967,9,15.0
2575.350721636791,1642.2190014594498,9,15.0
2544.896262473388,1650.4117380266625,9,15.0
2580.472183840508,1653.8258981702047,9,15.0
2550.133000390183,1646.2754386396136,9,15.0
2569.134976770109,1631.3139958724832,9,15.0
2555.548412581817,1652.6711052209753,9,15.0
2590.6768393594807,1640.313385508518,9,15.0
2583.698241622104,1638.0476130445145,9,15.0
2571.288007925099,1653.0525522917621,9,15.0
2580.0805315698763,1656.8786442416229,9,15.0
2571.6371021429277,1650.70289560138,9,15.0
2563.944927472717,1633.3200728727109,9,15.0
2592.9265383380475,1642.1205766096616,9,15.0
2597.4307836403555,1648.0859166959342,9,15.0
2552.71528647352,1649.5394255105616,9,15.0
2558.521149943797,1643.971290526049,9,15.0
2573.226130056937,1648.9919002770735,9,15.0
2586.355683515381,1621.063179759007,9,15.0
1735.0856840209333,1133.151928437212,10,13.0
