x,y,labels_1
3102.923409436262,3406.319128439395,1
3114.7528586004223,3389.1791155610135,1
3106.8009632773606,3403.904548968116,1
3081.336448338734,3411.8803486386523,1
3100.6602122495296,3417.8113840698434,1
3100.520781955989,3392.5342764805514,1
3091.6449166672387,3422.1108681163296,1
3096.7672179989104,3407.929539656731,1
3122.15734105911,3406.059030528844,1
3100.6178442592154,3409.258121892317,1
3086.9246396460717,3396.2840151171526,1
3131.3141916335894,3403.3080954185793,1
2526.219252642162,2713.8236577054913,2
2542.678597873291,2718.869874892244,2
2531.2782782920413,2732.792677192002,2
2545.4411753723602,2742.9939847285686,2
2523.1353283012545,2703.167510523104,2
2528.721436448738,2698.7966179402224,2
2511.136831076141,2710.627644027132,2
2543.061250521226,2725.3437924012014,2
2535.8233781460026,2720.3134776277084,2
2542.1291574831434,2717.971223760012,2
2563.271249739473,2717.4830405200332,2
2531.101957806442,2725.4366584098257,2
2551.510083631772,2694.7691039597703,2
2528.933985009874,2712.36142224447,2
2532.944522210772,2723.3569821462074,2
2546.2556530228403,2743.393751160272,2
2532.948024695319,2721.614655330889,2
2552.935040671076,2715.9649989141085,2
2529.0721997257956,2723.39029973582,2
2553.85825887603,2724.9766110669707,2
2534.595939564744,2716.5559099290917,2
2544.7530684440344,2711.6977956232054,2
602.3804009644074,2369.7866768972035,3
599.6216651904681,2400.2498419039907,3
588.2190350655087,2404.968569701225,3
599.2496726028736,2412.89839664806,3
566.2401604575507,2390.4853744472316,3
590.3462562240467,2393.3859456169926,3
596.1448017467743,2421.448558433094,3
595.4866183058624,2367.5161262551946,3
575.2682568333337,2376.92031382669,3
585.2507549718414,2392.360319812403,3
588.9807324645569,2396.5594364171966,3
607.8423564854952,2391.3805429058602,3
591.937033244674,2369.0977992117646,3
616.2439769420853,2384.5577887620493,3
580.6975528639725,2367.88713534411,3
588.8038613684637,2391.0368101601116,3
607.089919620742,2381.7104019394033,3
573.7162138958763,2381.7775345673044,3
591.7651104018937,2397.258948555464,3
579.1469561280483,2383.0422319878207,3
598.6301039591334,2390.3866812487554,3
568.3752495481491,2388.870582992001,3
581.0451926237639,2423.4760537557718,3
591.0252705229518,2407.699155379747,3
619.8451911895273,2405.205750739919,3
595.7235496920713,2406.7355078216715,3
583.3574627280199,2388.5298139411143,3
587.1622967251095,2391.8744319900325,3
588.1805139925465,2406.724496696549,3
604.1088381068836,2394.6146884020677,3
597.7753165999491,2380.5971721057895,3
592.1158669605327,2394.910251666419,3
591.9157081472487,2398.9082580737827,3
599.5397036488633,2400.416350894613,3
582.5005905198434,2400.6404355517457,3
591.7717379627641,2398.962987502809,3
590.787750091842,2395.0451044063643,3
583.949398197301,2410.7688158099063,3
3824.5911552766106,3546.3238627666624,4
3840.00102973173,3547.126993541356,4
3824.624953429022,3542.6070393650343,4
3849.075381024233,3542.032713223239,4
3825.752587485983,3549.901427265864,4
3823.6904645599434,3550.8070214553927,4
3813.7529925175572,3575.073017951432,4
3837.3564781690825,3529.9989492688865,4
3811.116016498939,3555.041491538671,4
3825.0839673730557,3538.573692947409,4
3816.172369959607,3522.2941532008376,4
3819.850968747056,3553.687167436782,4
3852.918811387928,3546.3845988518633,4
3817.3013848197816,3546.489970082249,4
3826.310288663326,3548.787456187425,4
3829.482808946311,3566.234952029953,4
3816.1219169852257,3536.4900257299023,4
3808.5635170785713,3543.5392278171307,4
3817.359929639405,3527.862997162804,4
3802.7057961479077,3530.6278882070856,4
3826.3493701790476,3557.4975810180717,4
3824.5960713045965,3541.811522309538,4
3823.5968864440824,3549.5931576161934,4
3842.2203593490594,3531.8267468068925,4
3822.388087521832,3548.877832923306,4
3822.8270920220125,3543.66158447416,4
3831.275527550435,3539.439506277454,4
3832.448962180607,3543.5504640665267,4
3798.3399384068584,3557.9523638101773,4
3823.021779418453,3542.7417867683703,4
3842.5572134925264,3560.717464345708,4
3823.0728363195126,3524.2522688436125,4
3815.070685783012,3550.046589329196,4
3827.843028018286,3546.2933171433733,4
3827.7197627335836,3560.8193334647412,4
3862.40935117521,3646.412533893797,5
3872.6678493336713,3621.6769447360834,5
3874.413403951021,3614.882236257045,5
3873.293121913076,3619.3898911847723,5
3866.319173684356,3620.1977502470013,5
3898.3228706543177,3613.3295877482137,5
3871.9460580179484,3628.1644862536687,5
3875.098085378736,3621.6513429944953,5
3856.035685567276,3602.4976982475614,5
3891.9319168112934,3643.717948269523,5
3891.67664887332,3601.3658765142377,5
3889.605215271776,3603.217652327888,5
3879.4271687245277,3618.902651377832,5
3874.0477440636278,3606.991950050783,5
3872.50175541348,3608.9801063562463,5
3864.643292745585,3596.44590341317,5
3880.044103556886,3614.299785071837,5
3849.517031558662,3612.690265646006,5
3869.318095654113,3620.757833709327,5
3867.938641702633,3626.2960443261372,5
3878.0413521083506,3621.5069638720556,5
3879.5172087028886,3614.974220015045,5
3880.0483294530954,3603.991559698071,5
3847.045094896463,3609.311151000719,5
3879.309009565138,3622.9672732742088,5
3890.681891637277,3623.923283824699,5
3882.076311380649,3603.5557684059772,5
3881.5999144388916,3626.4450250808786,5
3852.131257297868,3604.331860699309,5
1941.9520687457966,2673.5030609473333,6
1960.4759702110678,2702.622895578315,6
1944.5366334832356,2671.344210667276,6
1946.1445634365307,2669.3513804694517,6
1942.247297233692,2715.8904615023184,6
1933.4049766196229,2694.349953144735,6
1957.5244398405591,2695.160548195639,6
1957.9822871256802,2679.7070313319236,6
1945.0224898062538,2686.9269197491717,6
1935.9561860974718,2683.2797842959562,6
1956.5719386991452,2677.0184666035616,6
1965.5677448154227,2691.2236986629446,6
1944.4517686781005,2682.8355951149833,6
1941.0641830097152,2689.74275173354,6
1962.1943846695071,2708.2439846902334,6
1914.9151398188585,2687.921963137656,6
1924.1125544746799,2665.702719081038,6
1955.4194692451924,2702.3359391992726,6
1951.784033721338,2685.3422766771696,6
1932.6345449945456,2667.176905321717,6
1914.3421151909313,2696.295396627858,6
1940.6617970442855,2686.149168367413,6
1943.5183428118535,2672.756662369657,6
1943.3756863145543,2683.444070715904,6
1938.4158391269123,2672.2581378491586,6
1943.7200391626077,2687.144248611774,6
1952.8281398248212,2685.1196597632706,6
1958.322681731088,2703.8575896555785,6
1949.4770697157041,2673.3424338734453,6
2075.979123301754,1174.7041558630358,7
2065.2611967718367,1175.0252939663521,7
2088.2871143450284,1158.1479443280089,7
2100.4790022022694,1180.1543080244603,7
2090.64989336693,1173.0177341720034,7
2112.5073546248027,1161.9415162575497,7
2076.4384881782057,1150.045305289444,7
2074.931211533714,1145.420469265195,7
2091.3389289839647,1157.0410221655331,7
2088.5029226438874,1161.2631104107054,7
2092.1796757292955,1143.2681019482197,7
2078.7540725121,1162.8484281542055,7
2098.7855903076606,1133.468098880756,7
2066.6359525725425,1144.2535332359864,7
2089.7070097945975,1134.3399832779414,7
2095.0305505832084,1152.4131888321515,7
2081.5408553707157,1133.3109032963237,7
2062.9710603030258,1179.8993483529964,7
2088.363628955242,1152.5196167405995,7
2085.6841898578773,1159.8540300003065,7
2064.3275949228714,1156.5316562710987,7
2078.150827307967,1169.8523544585767,7
2099.413708177956,1160.5735097487664,7
2085.724507662428,1162.4537687266613,7
2078.3484485630734,1161.9991307741536,7
2080.2327917906,1169.9922141571683,7
2094.1367195592115,1181.3392039664727,7
2082.1196362576197,1178.6557632702143,7
2095.709910850215,1179.1646810056134,7
2079.589928829058,1180.5977362565934,7
2084.8942100814484,1164.318598339406,7
2061.193672507356,1155.084356055118,7
2080.9261332306965,1159.704982962347,7
2065.5490304477694,1172.5522236445045,7
2067.866911811012,1167.9429233420285,7
2110.8896551372063,1146.9934835818606,7
2087.3616716512115,1149.9999595991967,7
2083.4552619096016,1157.4179771368047,7
2098.255742964685,1170.3574814487492,7
1558.5515955413086,787.3209571038606,8
1582.2297484267865,795.1474503803449,8
1558.8235944394028,789.8932443971244,8
1565.3682601634298,805.4920699215639,8
1565.665164652009,784.2661968943852,8
1563.0826838797805,792.7947857861607,8
1582.3565961903219,776.7515689201554,8
