"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",2
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",2
"19",2
"20",2
"21",3
"22",3
"23",3
"24",3
"25",3
"26",3
"27",3
"28",3
"29",3
"30",3
"31",4
"32",4
"33",4
"34",4
"35",4
"36",4
"37",4
"38",4
"39",4
"40",4
"41",5
"42",5
"43",5
"44",5
"45",5
"46",5
"47",5
"48",5
"49",5
"50",5
"51",6
"52",6
"53",6
"54",6
"55",6
"56",6
"57",6
"58",6
"59",6
"60",6
"61",7
"62",7
"63",7
"64",7
"65",7
"66",7
"67",7
"68",7
"69",7
"70",7
"71",8
"72",8
"73",8
"74",8
"75",8
"76",8
"77",8
"78",8
"79",8
"80",8
"81",9
"82",9
"83",9
"84",9
"85",9
"86",9
"87",9
"88",9
"89",9
"90",9
"91",10
"92",10
"93",10
"94",10
"95",10
"96",10
"97",10
"98",10
"99",10
"100",10
"101",11
"102",11
"103",11
"104",11
"105",11
"106",11
"107",11
"108",11
"109",11
"110",11
"111",12
"112",12
"113",12
"114",12
"115",12
"116",12
"117",12
"118",12
"119",12
"120",12
"121",13
"122",13
"123",13
"124",13
"125",13
"126",13
"127",13
"128",13
"129",13
"130",13
"131",14
"132",14
"133",14
"134",14
"135",14
"136",14
"137",14
"138",14
"139",14
"140",14
"141",15
"142",15
"143",15
"144",15
"145",15
"146",15
"147",15
"148",15
"149",15
"150",15
"151",16
"152",16
"153",16
"154",16
"155",16
"156",16
"157",16
"158",16
"159",16
"160",16
"161",17
"162",17
"163",17
"164",17
"165",17
"166",17
"167",17
"168",17
"169",17
"170",17
"171",18
"172",18
"173",18
"174",18
"175",18
"176",18
"177",18
"178",18
"179",18
"180",18
"181",19
"182",19
"183",19
"184",19
"185",19
"186",19
"187",19
"188",19
"189",19
"190",19
"191",20
"192",20
"193",20
"194",20
"195",20
"196",20
"197",20
"198",20
"199",20
"200",20
"201",21
"202",21
"203",21
"204",21
"205",21
"206",21
"207",21
"208",21
"209",21
"210",21
"211",22
"212",22
"213",22
"214",22
"215",22
"216",22
"217",22
"218",22
"219",22
"220",22
"221",23
"222",23
"223",23
"224",23
"225",23
"226",23
"227",23
"228",23
"229",23
"230",23
"231",24
"232",24
"233",24
"234",24
"235",24
"236",24
"237",24
"238",24
"239",24
"240",24
"241",25
"242",25
"243",25
"244",25
"245",25
"246",25
"247",25
"248",25
"249",25
"250",25
"251",26
"252",26
"253",26
"254",26
"255",26
"256",26
"257",26
"258",26
"259",26
"260",26
"261",27
"262",27
"263",27
"264",27
"265",27
"266",27
"267",27
"268",27
"269",27
"270",27
"271",28
"272",28
"273",28
"274",28
"275",28
"276",28
"277",28
"278",28
"279",28
"280",28
"281",29
"282",29
"283",29
"284",29
"285",29
"286",29
"287",29
"288",29
"289",29
"290",29
"291",30
"292",30
"293",30
"294",30
"295",30
"296",30
"297",30
"298",30
"299",30
"300",30
"301",31
"302",31
"303",31
"304",31
"305",31
"306",31
"307",31
"308",31
"309",31
"310",31
"311",32
"312",32
"313",32
"314",32
"315",32
"316",32
"317",32
"318",32
"319",32
"320",32
"321",33
"322",33
"323",33
"324",33
"325",33
"326",33
"327",33
"328",33
"329",33
"330",33
"331",34
"332",34
"333",34
"334",34
"335",34
"336",34
"337",34
"338",34
"339",34
"340",34
"341",35
"342",35
"343",35
"344",35
"345",35
"346",35
"347",35
"348",35
"349",35
"350",35
"351",36
"352",36
"353",36
"354",36
"355",36
"356",36
"357",36
"358",36
"359",36
"360",36
"361",37
"362",37
"363",37
"364",37
"365",37
"366",37
"367",37
"368",37
"369",37
"370",37
"371",38
"372",38
"373",38
"374",38
"375",38
"376",38
"377",38
"378",38
"379",38
"380",38
"381",39
"382",39
"383",39
"384",39
"385",39
"386",39
"387",39
"388",39
"389",39
"390",39
"391",40
"392",40
"393",40
"394",40
"395",40
"396",40
"397",40
"398",40
"399",40
"400",40
"401",0
"402",0
"403",0
"404",0
"405",0
"406",17
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",23
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
