dist,K_avg,K_std,FMI_avg,FMI_std
60,1.0,0.0,0.6702804891950337,0.00667413832883638
65,1.0,0.0,0.6640526569359259,0.0077338093495496136
70,1.0,0.0,0.6664166478203292,0.0063009601128331495
75,1.0,0.0,0.6669136506916465,0.006961726745186621
80,1.0,0.0,0.664791335520435,0.007688868742399925
85,1.2,0.4,0.7077907496032693,0.08977616089085855
90,1.1,0.30000000000000004,0.6866337508559041,0.06980460439404555
95,1.0333333333333334,0.17950549357115014,0.6652620243623633,0.03977882747386362
100,1.3,0.45825756949558405,0.7322763763731526,0.11099730281124733
105,1.5333333333333334,0.4988876515698589,0.7865372414535403,0.11921497744903044
110,1.8333333333333333,0.3726779962499649,0.862712134306414,0.09385234614225625
115,2.0,0.0,0.9066070482754038,0.015894891954243057
120,2.0,0.0,0.9105805811478409,0.016687878314291846
