dist,K_avg,K_std,FMI_avg,FMI_std
60,1.0,0.0,0.6431615256225849,0.008954913028054795
65,1.0,0.0,0.6348102452597602,0.007558943994232319
70,1.0333333333333334,0.17950549357115012,0.6445313331180043,0.03414783671111627
75,1.0333333333333334,0.17950549357115012,0.6425259864420667,0.03172693473046181
80,1.2,0.4,0.6688892445857256,0.058791692607754346
85,1.4666666666666666,0.4988876515698589,0.7283768120134163,0.10441362519880597
90,1.6,0.48989794855663565,0.7566764153105332,0.10109155725727867
95,1.6,0.48989794855663565,0.752782873124522,0.10164642374589726
100,1.9333333333333333,0.24944382578492943,0.8403592785029483,0.06011910740732216
105,1.9666666666666666,0.1795054935711501,0.848196144142305,0.047594635423683807
110,2.0,0.0,0.8522730282497311,0.023724961874426274
115,2.0,0.0,0.8590646116906417,0.022471244326084418
120,2.0,0.0,0.8581620232766749,0.018795808286937925
